time,venue,code,raceno,runnerno,runnername,type,market,bookie,odds,result,BSP,BSP
,,,,,,,,,,,Price Win,Price Place
6/20/2025 18:43,Q1 LAKESIDE,Greyhounds,12,8,BLUE HAZE,CASH,Fixed Win,Sportsbet,7,Error,7.56,2.34
6/20/2025 18:41,Q1 LAKESIDE,Greyhounds,12,2,DASHING TURBO,CASH,Fixed Win,Tabtouch,8.5,Success,6.44,2.41
6/20/2025 18:39,Q1 LAKESIDE,Greyhounds,12,2,DASHING TURBO,CASH,Fixed Win,TAB,7.5,Error,6.44,2.41
6/20/2025 18:38,Q1 LAKESIDE,Greyhounds,12,2,DASHING TURBO,CASH,Fixed Win,Sportsbet,9,Error,6.44,2.41
6/20/2025 18:01,Q1 LAKESIDE,Greyhounds,10,8,SWEET LADETTE,CASH,Fixed Win,Tabtouch,2.4,Error,2.2,1.31
6/20/2025 17:59,Q1 LAKESIDE,Greyhounds,10,8,SWEET LADETTE,CASH,Fixed Win,Sportsbet,2.7,Success,2.2,1.31
6/20/2025 17:12,Q1 LAKESIDE,Greyhounds,7,3,RUMBLE TWISTER,CASH,Fixed Win,TAB,31,Error,37.09,5.95
6/20/2025 17:09,Q1 LAKESIDE,Greyhounds,7,1,DYNAMIC ETHICS,CASH,Fixed Win,TAB,34,Success,22.55,3.55
6/20/2025 17:07,Q1 LAKESIDE,Greyhounds,7,2,CLEVERLY AVA,CASH,Fixed Win,Tabtouch,2.7,Success,3,1.5
6/20/2025 17:05,Q1 LAKESIDE,Greyhounds,7,2,CLEVERLY AVA,CASH,Fixed Win,Sportsbet,3.1,Success,3,1.5
6/20/2025 16:36,Q1 LAKESIDE,Greyhounds,5,4,MISTY RICO,CASH,Fixed Win,Dabble,4.8,Success,9.33,1.58
6/20/2025 16:24,Q1 LAKESIDE,Greyhounds,5,4,MISTY RICO,CASH,Fixed Win,Sportsbet,6,Success,9.33,1.58
6/20/2025 16:11,Q1 LAKESIDE,Greyhounds,4,3,DAINTREE TOMMY,CASH,Fixed Win,Tabtouch,16,Error,24.28,3.53
6/20/2025 18:35,WARRAGUL,Greyhounds,12,2,LUCA SKYWALKER,CASH,Fixed Win,Sportsbet,8,Error,9.07,2.08
6/20/2025 17:02,WARRAGUL,Greyhounds,7,6,GRAND CASSIAN,CASH,Fixed Win,Sportsbet,23,Error,26.4,3.27
6/20/2025 15:24,WARRAGUL,Greyhounds,2,2,STANLEY STAFF,CASH,Fixed Win,TAB,10,Success,7.4,1.68
6/20/2025 15:23,WARRAGUL,Greyhounds,2,5,CRIMSON PIRATE,CASH,Fixed Win,TAB,6,Error,4.82,1.65
6/20/2025 15:04,WARRAGUL,Greyhounds,1,6,HELD FOR RANSOM,CASH,Fixed Win,Sportsbet,4.4,Error,3.72,1.68
6/20/2025 18:33,THE GARDENS,Greyhounds,11,6,RING YOU BACK,CASH,Fixed Win,Sportsbet,14,Error,14.61,3.3
6/20/2025 18:12,THE GARDENS,Greyhounds,10,6,NABIAC MEGS,CASH,Fixed Win,TAB,23,Error,20,3.15
6/20/2025 18:07,THE GARDENS,Greyhounds,10,5,RITZA BENJI,CASH,Fixed Win,Tabtouch,4.8,Success,4,1.74
6/20/2025 17:18,THE GARDENS,Greyhounds,7,3,DREAMTIME DOLLY,CASH,Fixed Win,TAB,17,Error,16.5,3.51
6/20/2025 16:42,THE GARDENS,Greyhounds,5,1,MY MOON SHADOW,CASH,Fixed Win,Sportsbet,5.5,Error,6.4,2.04
6/20/2025 15:11,THE GARDENS,Greyhounds,1,7,BARB'S IRON DUKE,CASH,Fixed Win,BetRight,26,Error,26.98,3.84
